01	Alsace
02	Aquitaine
03	Auvergne
04	Bourgogne
05	Bretagne
06	Centre-Val de Loire
07	Champagne-Ardenne
08	Corse
09	Franche-Comté
10	Île-de-France
11	Languedoc-Roussillon
12	Limousin
13	Lorraine
14	Midi-Pyrénées
15	Nord-pas-de-Calais
16	Basse-Normandie
17	Haute-Normandie
18	Pays de la Loire
19	Picardie
20	Poitou-Charentes
21	Provence-Alpes-Côte-d'Azur
22	Rhône-Alpes
