abri météorologique 
absorption
aérosols
air
albédo
altocumulus
altostratus
anémomètre
anémomètre
anticyclone
anticyclone
arc-en-ciel
ascendance
atmosphère
avalanche
averse
bar
baromètre
beaufort (échelle de)
bilan radiatif
bourrasque
brise
brouillard
bruine
brume
carbonique (gaz) (co2)
centre d'action
chlorofluorocarbone (cfc)
circulation générale
cirrus
climat
climatologie
condensation
convection
coriolis (force de)
corps (d'une perturbation)
courant-jet
crue-éclair
cumulonimbus
cumulus
cycle
cycle de l'eau
cyclone
degré celsius
dépression
diagramme climatique
direction (du vent)
dispersion (des polluants)
eclair
effet de serre
el nino
ensoleillement
evaporation
foudre
front
giboulée
girouette
givrage
glace
golf stream
gradient
grêle
hauteur d'eau
hectopascal
héliographe
humidité
humidité
humidité absolue
humidité relative
hygromètre
hygrométrie
indice d'assèchement
inondation
insolation
instable
intempérie
isobare
isohypse
maille
masse d'air
mésosphère
météorologie
méthane (ch4)
modèle
modèle de prévision numérique
molécule de gaz
mousson
nébulosité
neige
nimbostratus
normale climatique
nuage
occlusion
ondée
orage
ouragan
oxyde nitreux (no2)
oxydes d'azote
ozone (o3)
particules
pascal
perturbation
pluie
pluie continue
pluie diluvienne
pluviomètre
point de rosée
précipitations
pression
pression
psychromètre
radar
radiosondage
radiosonde
rafale de vent
rayonnement
réseau de localisation des éclairs
saison
satellite défilant
sécheresse
secteur chaud
stable
station automatique
strato-cumulus
stratosphère
stratus
système convectif
système orageux
température
température de l'air
tempête
temps
thermomètre
tonnerre
tornade
traîne
troposphère
typhon
vague de chaleur
vague de froid
vent
vent
verglas
vitesse (du vent)
temperatures
chaud
enneigement
belles journees
souffle
hivernale
belles
automnal
thermique
agitee
eau
estivale
printaniere
tramontane
submersion
poussieres
degats
deficit
intensites
tempetueux
froid
pollution
